,precision,recall,f1-score,support
angry_female,0.04797047970479705,0.08904109589041095,0.06235011990407674,146.0
angry_male,0.21311475409836064,0.12037037037037036,0.15384615384615383,108.0
calm_female,0.125,0.2265625,0.16111111111111112,128.0
calm_male,0.20114942528735633,0.30434782608695654,0.2422145328719723,115.0
disgust_female,0.14522821576763487,0.4861111111111111,0.22364217252396168,144.0
disgust_male,0.9545454545454546,0.1721311475409836,0.29166666666666663,122.0
fearful_female,0.15172413793103448,0.19298245614035087,0.16988416988416985,114.0
fearful_male,0.0,0.0,,108.0
happy_female,0.15966386554621848,0.31932773109243695,0.21288515406162464,119.0
happy_male,,0.0,,98.0
neutral_female,0.2916666666666667,0.1346153846153846,0.18421052631578946,52.0
neutral_male,,0.0,,67.0
sad_female,0.0,0.0,,128.0
sad_male,0.13636363636363635,0.024,0.04081632653061225,125.0
surprised_female,0.2,0.05084745762711865,0.08108108108108107,118.0
surprised_male,0.0,0.0,,107.0
accuracy,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
macro avg,0.1876019025650828,0.13252106752969522,0.16579163770883815,1799.0
weighted avg,0.18275908742283561,0.14285714285714285,0.16338643396832417,1799.0
